,State,Year,Quater,Disrict,Reg_users
34439,south garo hills district,2022,4,south garo hills district,8553
34440,east jaintia hills district,2022,4,east jaintia hills district,21201
34441,south west garo hills district,2022,4,south west garo hills district,10062
34442,east khasi hills district,2022,4,east khasi hills district,118978
34443,east garo hills district,2022,4,east garo hills district,9846
34444,ribhoi district,2022,4,ribhoi district,29041
34445,west jaintia hills district,2022,4,west jaintia hills district,13633
34446,west khasi hills district,2022,4,west khasi hills district,7705
34447,north garo hills district,2022,4,north garo hills district,10145
34448,south west khasi hills district,2022,4,south west khasi hills district,2366
34449,west garo hills district,2022,4,west garo hills district,63792
34450,south garo hills district,2022,4,south garo hills district,8553
34451,east jaintia hills district,2022,4,east jaintia hills district,21201
34452,south west garo hills district,2022,4,south west garo hills district,10062
34453,east khasi hills district,2022,4,east khasi hills district,118978
34454,east garo hills district,2022,4,east garo hills district,9846
34455,ribhoi district,2022,4,ribhoi district,29041
34456,west jaintia hills district,2022,4,west jaintia hills district,13633
34457,west khasi hills district,2022,4,west khasi hills district,7705
34458,north garo hills district,2022,4,north garo hills district,10145
34459,south west khasi hills district,2022,4,south west khasi hills district,2366
34460,west garo hills district,2022,4,west garo hills district,63792
34461,south garo hills district,2022,4,south garo hills district,8553
34462,east jaintia hills district,2022,4,east jaintia hills district,21201
34463,south west garo hills district,2022,4,south west garo hills district,10062
34464,east khasi hills district,2022,4,east khasi hills district,118978
34465,east garo hills district,2022,4,east garo hills district,9846
34466,ribhoi district,2022,4,ribhoi district,29041
34467,west jaintia hills district,2022,4,west jaintia hills district,13633
34468,west khasi hills district,2022,4,west khasi hills district,7705
34469,north garo hills district,2022,4,north garo hills district,10145
34470,south west khasi hills district,2022,4,south west khasi hills district,2366
34471,west garo hills district,2022,4,west garo hills district,63792
34472,south garo hills district,2022,4,south garo hills district,8553
34473,east jaintia hills district,2022,4,east jaintia hills district,21201
34474,south west garo hills district,2022,4,south west garo hills district,10062
34475,east khasi hills district,2022,4,east khasi hills district,118978
34476,east garo hills district,2022,4,east garo hills district,9846
34477,ribhoi district,2022,4,ribhoi district,29041
34478,west jaintia hills district,2022,4,west jaintia hills district,13633
34479,west khasi hills district,2022,4,west khasi hills district,7705
34480,serchhip district,2018,1,serchhip district,299
34481,aizawl district,2018,1,aizawl district,4550
34482,lunglei district,2018,1,lunglei district,879
